gene.names	cluster
ENSMUSG00000006575	Rundc3a	1
ENSMUSG00000006651	Aplp1	1
ENSMUSG00000006675	P4htm	1
ENSMUSG00000006728	Cdk4	1
ENSMUSG00000006736	Tspan31	1
ENSMUSG00000006777	Krt23	1
ENSMUSG00000006931	P3h4	1
ENSMUSG00000006941	Eif1b	1
ENSMUSG00000007038	Neu1	1
ENSMUSG00000007458	M6pr	1
ENSMUSG00000007564	Ppp2r1a	1
ENSMUSG00000007589	Tinf2	1
ENSMUSG00000007659	Bcl2l1	1
ENSMUSG00000007721	Ccdc124	1
ENSMUSG00000007739	Cct4	1
ENSMUSG00000007815	Rhoa	1
ENSMUSG00000007867	Ift43	1
ENSMUSG00000007872	Id3	1
ENSMUSG00000007892	Rplp1	1
ENSMUSG00000007944	Ttc9b	1
ENSMUSG00000008036	Ap2s1	1
ENSMUSG00000008301	Phax	1
ENSMUSG00000008384	Sertad1	1
ENSMUSG00000008393	Carhsp1	1
ENSMUSG00000008475	Arpc5	1
ENSMUSG00000008496	Pou2f2	1
ENSMUSG00000008668	Rps18	1
ENSMUSG00000008682	Rpl10	1
ENSMUSG00000008690	Ncaph2	1
ENSMUSG00000008892	Vdac3	1
ENSMUSG00000008958	Vps72	1
ENSMUSG00000009013	Dynll1	1
ENSMUSG00000009079	Ewsr1	1
ENSMUSG00000009291	Pttg1ip	1
ENSMUSG00000009293	Ube2g2	1
ENSMUSG00000009549	Srp14	1
ENSMUSG00000009555	Cdk9	1
ENSMUSG00000009640	Dmap1	1
ENSMUSG00000009647	Mcu	1
ENSMUSG00000009687	Fxyd5	1
ENSMUSG00000009863	Sdhb	1
ENSMUSG00000009927	Rps25	1
ENSMUSG00000010045	Tmem115	1
ENSMUSG00000010048	Ifrd2	1
ENSMUSG00000010054	Tusc2	1
ENSMUSG00000010057	Nprl2	1
ENSMUSG00000010067	Rassf1	1
ENSMUSG00000010095	Slc3a2	1
ENSMUSG00000010376	Nedd8	1
ENSMUSG00000010406	Mrpl52	1
ENSMUSG00000010660	Plcd1	1
ENSMUSG00000011096	Akt1s1	1
ENSMUSG00000011154	Cfap161	1
ENSMUSG00000011179	Odc1	1
ENSMUSG00000011752	Pgam1	1
ENSMUSG00000011837	Snapc2	1
ENSMUSG00000012296	Tjap1	1
ENSMUSG00000012405	Rpl15	1
ENSMUSG00000012848	Rps5	1
ENSMUSG00000013160	Atp6v0d1	1
ENSMUSG00000013419	Zbtb47	1
ENSMUSG00000013465	Nelfb	1
ENSMUSG00000013593	Ndufs2	1
ENSMUSG00000013622	Atraid	1
ENSMUSG00000013698	Pea15a	1
ENSMUSG00000013701	Timm23	1
ENSMUSG00000013787	Ehmt2	1
ENSMUSG00000013822	Elof1	1
ENSMUSG00000014195	Dnajc7	1
ENSMUSG00000014226	Cacybp	1
ENSMUSG00000014232	Cluap1	1
ENSMUSG00000014243	Zswim7	1
ENSMUSG00000014294	Ndufa2	1
ENSMUSG00000014313	Cox6c	1
ENSMUSG00000014349	Ube2z	1
ENSMUSG00000014402	Tsg101	1
ENSMUSG00000014504	Srp19	1
ENSMUSG00000014551	Mrps25	1
ENSMUSG00000014606	Slc25a11	1
ENSMUSG00000014769	Psmb1	1
ENSMUSG00000014850	Msh3	1
ENSMUSG00000014859	E2f4	1
ENSMUSG00000014873	Surf2	1
ENSMUSG00000014959	Gorasp2	1
ENSMUSG00000015013	Trappc2l	1
ENSMUSG00000015092	Edf1	1
ENSMUSG00000015094	Npdc1	1
ENSMUSG00000015126	Tsr3	1
ENSMUSG00000015149	Sirt2	1
ENSMUSG00000015217	Hmgb3	1
ENSMUSG00000015289	Lage3	1
ENSMUSG00000015341	Golga7	1
ENSMUSG00000015377	Dennd6b	1
ENSMUSG00000015474	Ppt2	1
ENSMUSG00000015476	Prrt1	1
ENSMUSG00000015478	Rnf5	1
ENSMUSG00000015536	Mocs2	1
ENSMUSG00000015575	Atp6v0e	1
ENSMUSG00000015668	Pdzd11	1
ENSMUSG00000015671	Psma2	1
ENSMUSG00000015714	Cers2	1
ENSMUSG00000015745	Plekho1	1
ENSMUSG00000015750	Aph1a	1
ENSMUSG00000015776	Med22	1
ENSMUSG00000015790	Surf1	1
ENSMUSG00000015806	Qdpr	1
ENSMUSG00000015837	Sqstm1	1
ENSMUSG00000015869	Prpsap1	1
ENSMUSG00000015932	Dstn	1
ENSMUSG00000015937	Macroh2a1	1
ENSMUSG00000015994	Fnta	1
ENSMUSG00000016252	Atp5f1e	1
ENSMUSG00000016256	Ctsz	1
ENSMUSG00000016257	Prelid3b	1
ENSMUSG00000016319	Slc25a5	1
ENSMUSG00000016427	Ndufa1	1
ENSMUSG00000016503	Gtf3a	1
ENSMUSG00000016637	Ift27	1
ENSMUSG00000016833	Mrps18c	1
ENSMUSG00000017176	Nt5c3b	1
ENSMUSG00000017188	Coa3	1
ENSMUSG00000017221	Psmd3	1
ENSMUSG00000017299	Dnttip1	1
ENSMUSG00000017404	Rpl19	1
ENSMUSG00000017664	Slc35c2	1
ENSMUSG00000017715	Pgs1	1
ENSMUSG00000017723	Wfdc2	1
ENSMUSG00000017724	Etv4	1
ENSMUSG00000017734	Dbndd2	1
ENSMUSG00000017760	Ctsa	1
ENSMUSG00000017778	Cox7c	1
ENSMUSG00000017801	Mlx	1
ENSMUSG00000018040	Rrp7a	1
ENSMUSG00000018042	Cyb5r3	1
ENSMUSG00000018102	H2bc4	1
ENSMUSG00000018126	Baiap2l2	1
ENSMUSG00000018286	Psmb6	1
ENSMUSG00000018287	Spag7	1
ENSMUSG00000018293	Pfn1	1
ENSMUSG00000018322	Tomm34	1
ENSMUSG00000018446	C1qbp	1
ENSMUSG00000018451	6330403K07Rik	1
ENSMUSG00000018509	Cenpv	1
ENSMUSG00000018559	Ctdnep1	1
ENSMUSG00000018567	Gabarap	1
ENSMUSG00000018572	Phf23	1
ENSMUSG00000018585	Atox1	1
ENSMUSG00000018659	Pnpo	1
ENSMUSG00000018677	Slc25a39	1
ENSMUSG00000018761	Mpdu1	1
ENSMUSG00000018770	Atp5mc3	1
ENSMUSG00000018821	Avpi1	1
ENSMUSG00000018848	Rars1	1
ENSMUSG00000018858	Mrpl58	1
ENSMUSG00000018865	Sult4a1	1
ENSMUSG00000019039	Dalrd3	1
ENSMUSG00000019054	Fis1	1
ENSMUSG00000019087	Atp6ap1	1
ENSMUSG00000019179	Mdh2	1
ENSMUSG00000019210	Atp6v1e1	1
ENSMUSG00000019254	Ppp1r12c	1
ENSMUSG00000019320	Noxo1	1
ENSMUSG00000019362	D8Ertd738e	1
ENSMUSG00000019373	Cops3	1
ENSMUSG00000019428	Fkbp8	1
ENSMUSG00000019432	Ddx39b	1
ENSMUSG00000019433	Gipc1	1
ENSMUSG00000019471	Cdc37	1
ENSMUSG00000019478	Rab4a	1
ENSMUSG00000019494	Cops6	1
ENSMUSG00000019505	Ubb	1
ENSMUSG00000019578	Ubxn6	1
ENSMUSG00000019579	Mydgf	1
ENSMUSG00000019689	Fmc1	1
ENSMUSG00000019710	Mrpl24	1
ENSMUSG00000019734	Tmc4	1
ENSMUSG00000019738	Polr2i	1
ENSMUSG00000019782	Rwdd1	1
ENSMUSG00000019797	Mtres1	1
ENSMUSG00000019804	Snx3	1
ENSMUSG00000019806	Aig1	1
ENSMUSG00000019814	Ltv1	1
ENSMUSG00000019822	Smpd2	1
ENSMUSG00000019837	Gtf3c6	1
ENSMUSG00000019868	Vta1	1
ENSMUSG00000019874	Fabp7	1
ENSMUSG00000019897	Ccdc59	1
ENSMUSG00000019992	Mtfr2	1
ENSMUSG00000020009	Ifngr1	1
ENSMUSG00000020018	Snrpf	1
ENSMUSG00000020022	Ndufa12	1
ENSMUSG00000020056	Washc3	1
ENSMUSG00000020089	Ppa1	1
ENSMUSG00000020090	Npffr1	1
ENSMUSG00000020098	Pcbd1	1
ENSMUSG00000020107	Anapc16	1
ENSMUSG00000020116	Pno1	1
ENSMUSG00000020150	Gamt	1
ENSMUSG00000020153	Ndufs7	1
ENSMUSG00000020163	Uqcr11	1
ENSMUSG00000020167	Tcf3	1
ENSMUSG00000020171	Yeats4	1
ENSMUSG00000020180	Snrpd3	1
ENSMUSG00000020216	Jsrp1	1
ENSMUSG00000020219	Timm13	1
ENSMUSG00000020224	Llph	1
ENSMUSG00000020225	Tmbim4	1
ENSMUSG00000020260	Pofut2	1
ENSMUSG00000020267	Hint1	1
ENSMUSG00000020277	Pfkl	1
ENSMUSG00000020282	Rhbdf1	1
ENSMUSG00000020284	Cfap410	1
ENSMUSG00000020288	Ahsa2	1
ENSMUSG00000020307	Cdc34	1
ENSMUSG00000020321	Mdh1	1
ENSMUSG00000020349	Ppp2ca	1
ENSMUSG00000020358	Hnrnpab	1
ENSMUSG00000020372	Rack1	1
ENSMUSG00000020392	Cdkn2aipnl	1
ENSMUSG00000020412	Ascc2	1
ENSMUSG00000020424	Castor1	1
ENSMUSG00000020440	Arf5	1
ENSMUSG00000020441	2310033P09Rik	1
ENSMUSG00000020444	Guk1	1
ENSMUSG00000020457	Drg1	1
ENSMUSG00000020460	Rps27a	1
ENSMUSG00000020472	Zkscan17	1
ENSMUSG00000020477	Mrps24	1
ENSMUSG00000020484	Xbp1	1
ENSMUSG00000020485	Supt4a	1
ENSMUSG00000020496	Rnf187	1
ENSMUSG00000020514	Mrpl22	1
ENSMUSG00000020515	Cnot8	1
ENSMUSG00000020523	Fam114a2	1
ENSMUSG00000020528	Prpsap2	1
ENSMUSG00000020530	Ggnbp2	1
ENSMUSG00000020537	Drg2	1
ENSMUSG00000020585	Laptm4a	1
ENSMUSG00000020591	Ntsr2	1
ENSMUSG00000020644	Id2	1
ENSMUSG00000020708	Psmc5	1
ENSMUSG00000020720	Psmd12	1
ENSMUSG00000020733	Nherf1	1
ENSMUSG00000020737	Jpt1	1
ENSMUSG00000020738	Sumo2	1
ENSMUSG00000020744	Slc25a19	1
ENSMUSG00000020778	Ten1	1
ENSMUSG00000020780	Srp68	1
ENSMUSG00000020803	Txndc17	1
ENSMUSG00000020831	0610010K14Rik	1
ENSMUSG00000020832	Eral1	1
ENSMUSG00000020843	Timm22	1
ENSMUSG00000020857	Nme2	1
ENSMUSG00000020869	Lrrc59	1
ENSMUSG00000020873	Slc35b1	1
ENSMUSG00000020903	Stx8	1
ENSMUSG00000020918	Kat2a	1
ENSMUSG00000020922	Lsm12	1
ENSMUSG00000020932	Gfap	1
ENSMUSG00000020936	Nmt1	1
ENSMUSG00000020955	Ap4s1	1
ENSMUSG00000020982	Nemf	1
ENSMUSG00000020993	Trappc6b	1
ENSMUSG00000021007	Spata7	1
ENSMUSG00000021024	Psma6	1
ENSMUSG00000021033	Gstz1	1
ENSMUSG00000021037	Ahsa1	1
ENSMUSG00000021040	Slirp	1
ENSMUSG00000021102	Glrx5	1
ENSMUSG00000021114	Atp6v1d	1
ENSMUSG00000021116	Eif2s1	1
ENSMUSG00000021124	Vti1b	1
ENSMUSG00000021139	S2bpcox16	1
ENSMUSG00000021144	Mta1	1
ENSMUSG00000021178	Psmc1	1
ENSMUSG00000021194	Chga	1
ENSMUSG00000021213	Akr1c13	1
ENSMUSG00000021222	Dcaf4	1
ENSMUSG00000021243	Fcf1	1
ENSMUSG00000021262	Evl	1
ENSMUSG00000021290	Atp5mj	1
ENSMUSG00000021339	Mrs2	1
ENSMUSG00000021416	Eci3	1
ENSMUSG00000021420	Fars2	1
ENSMUSG00000021460	Auh	1
ENSMUSG00000021464	Ror2	1
ENSMUSG00000021476	Habp4	1
ENSMUSG00000021486	Prelid1	1
ENSMUSG00000021493	Pdlim7	1
ENSMUSG00000021495	Fam193b	1
ENSMUSG00000021508	Cxcl14	1
ENSMUSG00000021520	Uqcrb	1
ENSMUSG00000021550	Qng1	1
ENSMUSG00000021576	Pdcd6	1
ENSMUSG00000021606	Ndufs6	1
ENSMUSG00000021610	Clptm1l	1
ENSMUSG00000021660	Btf3	1
ENSMUSG00000021680	Crhbp	1
ENSMUSG00000021716	Srek1ip1	1
ENSMUSG00000021725	Parp8	1
ENSMUSG00000021737	Psmd6	1
ENSMUSG00000021748	Pdhb	1
ENSMUSG00000021752	Kctd6	1
ENSMUSG00000021760	Gpx8	1
ENSMUSG00000021764	Ndufs4	1
ENSMUSG00000021771	Vdac2	1
ENSMUSG00000021772	Nkiras1	1
ENSMUSG00000021792	Prxl2a	1
ENSMUSG00000021807	Rtraf	1
ENSMUSG00000021811	Dnajc9	1
ENSMUSG00000021832	Psmc6	1
ENSMUSG00000021868	Ppif	1
ENSMUSG00000021876	Rnase4	1
ENSMUSG00000021902	Phf7	1
ENSMUSG00000021916	Glt8d1	1
ENSMUSG00000021951	Eef1akmt1	1
ENSMUSG00000021957	Tkt	1
ENSMUSG00000021958	Pinx1	1
ENSMUSG00000021963	Sap18	1
ENSMUSG00000021996	Esd	1
ENSMUSG00000022018	Rgcc	1
ENSMUSG00000022023	Wbp4	1
ENSMUSG00000022070	Bora	1
ENSMUSG00000022091	Sorbs3	1
ENSMUSG00000022111	Uchl3	1
ENSMUSG00000022160	Mettl3	1
ENSMUSG00000022174	Dad1	1
ENSMUSG00000022193	Psmb5	1
ENSMUSG00000022194	Pabpn1	1
ENSMUSG00000022199	Slc22a17	1
ENSMUSG00000022203	Efs	1
ENSMUSG00000022211	Carmil3	1
ENSMUSG00000022216	Psme1	1
ENSMUSG00000022234	Cct5	1
ENSMUSG00000022269	Marchf11	1
ENSMUSG00000022283	Pabpc1	1
ENSMUSG00000022312	Eif3h	1
ENSMUSG00000022354	Ndufb9	1
ENSMUSG00000022370	Mrpl13	1
ENSMUSG00000022400	Rbx1	1
ENSMUSG00000022414	Tab1	1
ENSMUSG00000022420	Dnal4	1
ENSMUSG00000022427	Tomm22	1
ENSMUSG00000022428	Cby1	1
ENSMUSG00000022452	Smdt1	1
ENSMUSG00000022472	Desi1	1
ENSMUSG00000022474	Pmm1	1
ENSMUSG00000022476	Polr3h	1
ENSMUSG00000022490	Ppp1r1a	1
ENSMUSG00000022516	Nudt16l1	1
ENSMUSG00000022551	Cyc1	1
ENSMUSG00000022552	Sharpin	1
ENSMUSG00000022559	Fbxl6	1
ENSMUSG00000022561	Gpaa1	1
ENSMUSG00000022564	Grina	1
ENSMUSG00000022568	Scrib	1
ENSMUSG00000022571	Pycr3	1
ENSMUSG00000022574	Naprt	1
ENSMUSG00000022577	Ly6h	1
ENSMUSG00000022617	Chkb	1
ENSMUSG00000022621	Rabl2	1
ENSMUSG00000022635	Zcrb1	1
ENSMUSG00000022658	Tagln3	1
ENSMUSG00000022677	Cep20	1
ENSMUSG00000022681	Ntan1	1
ENSMUSG00000022706	Mrpl40	1
ENSMUSG00000022760	Thap7	1
ENSMUSG00000022769	Sdf2l1	1
ENSMUSG00000022774	Ncbp2	1
ENSMUSG00000022793	B4galt4	1
ENSMUSG00000022820	Ndufb4	1
ENSMUSG00000022841	Ap2m1	1
ENSMUSG00000022889	Mrpl39	1
ENSMUSG00000022890	Atp5pf	1
ENSMUSG00000022940	Pigp	1
ENSMUSG00000022951	Rcan1	1
ENSMUSG00000022956	Atp5po	1
ENSMUSG00000022982	Sod1	1
ENSMUSG00000023004	Tuba1b	1
ENSMUSG00000023010	Tmbim6	1
ENSMUSG00000023019	Gpd1	1
ENSMUSG00000023020	Cox14	1
ENSMUSG00000023021	Cers5	1
ENSMUSG00000023036	Pcdhgc4	1
ENSMUSG00000023067	Cdkn1a	1
ENSMUSG00000023089	Ndufa5	1
ENSMUSG00000023092	Fhl1	1
ENSMUSG00000023104	Rfc2	1
ENSMUSG00000023106	Denr	1
ENSMUSG00000023170	Gps2	1
ENSMUSG00000023175	Bsg	1
ENSMUSG00000023191	P3h3	1
ENSMUSG00000023232	Serinc2	1
ENSMUSG00000023236	Scg5	1
ENSMUSG00000023277	Twf2	1
ENSMUSG00000023286	Ube2j2	1
ENSMUSG00000023336	Wfdc1	1
ENSMUSG00000023456	Tpi1	1
ENSMUSG00000023571	C1qtnf12	1
ENSMUSG00000023723	Mrps23	1
ENSMUSG00000023791	Pigx	1
ENSMUSG00000023806	Rsph3b	1
ENSMUSG00000023861	Mpc1	1
ENSMUSG00000023904	Hcfc1r1	1
ENSMUSG00000023951	Vegfa	1
ENSMUSG00000023966	Rsph9	1
ENSMUSG00000023988	Bysl	1
ENSMUSG00000024007	Ppil1	1
ENSMUSG00000024012	Mtch1	1
ENSMUSG00000024038	Ndufv3	1
ENSMUSG00000024091	Vapa	1
ENSMUSG00000024099	Ndufv2	1
ENSMUSG00000024101	Washc1	1
ENSMUSG00000024121	Atp6v0c	1
ENSMUSG00000024150	Mcfd2	1
ENSMUSG00000024158	Hagh	1
ENSMUSG00000024160	Spsb3	1
ENSMUSG00000024176	Sox8	1
ENSMUSG00000024181	Mrpl28	1
ENSMUSG00000024186	Rgs11	1
ENSMUSG00000024191	Bnip1	1
ENSMUSG00000024194	Cuta	1
ENSMUSG00000024208	Uqcc2	1
ENSMUSG00000024217	Snrpc	1
ENSMUSG00000024246	Thumpd2	1
ENSMUSG00000024248	Cox7a2l	1
ENSMUSG00000024258	Polr2d	1
ENSMUSG00000024309	Pfdn6	1
ENSMUSG00000024325	Ring1	1
ENSMUSG00000024346	Pfdn1	1
ENSMUSG00000024352	Spata24	1
ENSMUSG00000024369	Nelfe	1
ENSMUSG00000024381	Bin1	1
ENSMUSG00000024387	Csnk2b	1
ENSMUSG00000024403	Atp6v1g2	1
ENSMUSG00000024429	Gnl1	1
ENSMUSG00000024436	Mrps18b	1
ENSMUSG00000024454	Hdac3	1
ENSMUSG00000024459	H2-M5	1
ENSMUSG00000024474	Ik	1
ENSMUSG00000024486	Hbegf	1
ENSMUSG00000024513	Mbd2	1
ENSMUSG00000024516	Sec11c	1
ENSMUSG00000024535	Snx24	1
ENSMUSG00000024560	Cxxc1	1
ENSMUSG00000024570	Rbfa	1
ENSMUSG00000024608	Rps14	1
ENSMUSG00000024640	Psat1	1
ENSMUSG00000024646	Cyb5a	1
ENSMUSG00000024661	Fth1	1
ENSMUSG00000024767	Otub1	1
ENSMUSG00000024787	Snx15	1
ENSMUSG00000024792	Zfpl1	1
ENSMUSG00000024818	Slc25a45	1
ENSMUSG00000024829	Mrpl21	1
ENSMUSG00000024830	Rps6kb2	1
ENSMUSG00000024835	Coro1b	1
ENSMUSG00000024844	Banf1	1
ENSMUSG00000024847	Aip	1
ENSMUSG00000024854	Pold4	1
ENSMUSG00000024856	Cdk2ap2	1
ENSMUSG00000024870	Rab1b	1
ENSMUSG00000024902	Mrpl11	1
ENSMUSG00000024914	Drap1	1
ENSMUSG00000024926	Kat5	1
ENSMUSG00000024941	Scyl1	1
ENSMUSG00000024944	Arl2	1
ENSMUSG00000024953	Prdx5	1
ENSMUSG00000024962	Vegfb	1
ENSMUSG00000024990	Rbp4	1
ENSMUSG00000025024	Smndc1	1
ENSMUSG00000025034	Trim8	1
ENSMUSG00000025068	Gsto1	1
ENSMUSG00000025130	P4hb	1
ENSMUSG00000025132	Arhgdia	1
ENSMUSG00000025135	Anapc11	1
ENSMUSG00000025137	Pcyt2	1
ENSMUSG00000025138	Sirt7	1
ENSMUSG00000025156	Gps1	1
ENSMUSG00000025157	Zdhhc16	1
ENSMUSG00000025158	Rfng	1
ENSMUSG00000025204	Ndufb8	1
ENSMUSG00000025223	Ldb1	1
ENSMUSG00000025226	Fbxl15	1
ENSMUSG00000025227	Mfsd13a	1
ENSMUSG00000025228	Actr1a	1
ENSMUSG00000025235	Bbs4	1
ENSMUSG00000025237	Parp6	1
ENSMUSG00000025264	Tsr2	1
ENSMUSG00000025268	Maged2	1
ENSMUSG00000025283	Sat1	1
ENSMUSG00000025290	Rps24	1
ENSMUSG00000025337	Sbds	1
ENSMUSG00000025351	Cd63	1
ENSMUSG00000025354	Dnajc14	1
ENSMUSG00000025362	Rps26	1
ENSMUSG00000025364	Pa2g4	1
ENSMUSG00000025374	Nabp2	1
ENSMUSG00000025381	Cnpy2	1
ENSMUSG00000025393	Atp5f1b	1
ENSMUSG00000025408	Ddit3	1
ENSMUSG00000025409	Mbd6	1
ENSMUSG00000025413	Ttc4	1
ENSMUSG00000025439	Clns1a	1
ENSMUSG00000025468	Caly	1
ENSMUSG00000025484	Bet1l	1
ENSMUSG00000025487	Psmd13	1
ENSMUSG00000025499	Hras	1
ENSMUSG00000025503	Taldo1	1
ENSMUSG00000025508	Rplp2	1
ENSMUSG00000025545	Clybl	1
ENSMUSG00000025576	Rbfox3	1
ENSMUSG00000025580	Eif4a3	1
ENSMUSG00000025613	Cct8	1
ENSMUSG00000025630	Hprt1	1
ENSMUSG00000025651	Uqcrc1	1
ENSMUSG00000025730	Rab40c	1
ENSMUSG00000025731	Mettl26	1
ENSMUSG00000025732	Mcrip2	1
ENSMUSG00000025733	Rhot2	1
ENSMUSG00000025735	Rhbdl1	1
ENSMUSG00000025781	Atp5f1c	1
ENSMUSG00000025782	Taf3	1
ENSMUSG00000025794	Rpl14	1
ENSMUSG00000025825	Iscu	1
ENSMUSG00000025856	Pdgfa	1
ENSMUSG00000025858	Get4	1
ENSMUSG00000025868	Higd2a	1
ENSMUSG00000025869	Nop16	1
ENSMUSG00000025872	Thoc3	1
ENSMUSG00000025917	Cops5	1
ENSMUSG00000025967	Eef1b2	1
ENSMUSG00000026021	Sumo1	1
